name,street,pzl,tel,fax,email
Adlwang,Kirchenplatz 5,4541 Adlwang,+43 7258 / 7455,+437258 / 7455 - 22,gemeinde@adlwang.ooe.gv.at
Aichkirchen,Aichkirchen 26,4671 Aichkirchen,+43 7735 / 7366,,gemeinde@aichkirchen.ooe.gv.at
Aigen-Schlägl,Marktplatz 17,4160 Aigen-Schlägl,+43 7281 / 6255,+437281 / 6255 - 9,gemeinde@aigen-schlaegl.at
Aistersheim,Aistersheim 5,4676 Aistersheim,+43 7734 / 2855,+437734 / 2855,gemeinde@aistersheim.ooe.gv.at
Alberndorf in der Riedmark,Kalchgruberstraße 2,4211 Alberndorf in der Riedmark,+43 7235 / 7155 - 0,,gemeinde@alberndorf.ooe.gv.at
Alkoven,Alte Hauptstraße 40,4072 Alkoven,+43 7274 / 8000,+437274 / 8000 - 30,gemeinde@alkoven.ooe.gv.at
Allerheiligen im Mühlkreis,Allerheiligen im Mühlkreis 2,4320 Allerheiligen im Mühlkreis,+43 7262 / 58 0 12,+437262 / 58 0 12 - 14,gemeinde@allerheiligen.ooe.gv.at
Allhaming,Allhaming 46,4511 Allhaming,+43 7227 / 71 55,+437227 / 7155 - 30,gemeinde@allhaming.ooe.gv.at
Altenberg bei Linz,Marktplatz 1,4203 Altenberg bei Linz,+43 7230 / 7255,+437230 / 7255-4,gemeindeamt@altenberg.at
Altenfelden,Veldenstraße 3,4121 Altenfelden,+43 7282 / 5555,+437282 / 5555 - 22,gemeindeamt@altenfelden.at
Altheim,Braunauer Straße 7,4950 Altheim,+43 7723 / 42255,+43 7723 / 42255 -15,office@altheim.ooe.gv.at
Altmünster,Marktstraße 21,4813 Altmünster,+43 7612 / 87611,+437612 / 87611 - 22,gemeinde@altmuenster.ooe.gv.at
Altschwendt,Altschwendt 9,4721 Altschwendt,+43 7762 / 2605,+437762 / 2605 - 25,gemeinde@altschwendt.ooe.gv.at
