Name,Handynummer,Gezeichnet
Adlwang,+4372587455,0
Aichkirchen,+4377357366,0
Aigen-Schlägl,+4372816255,0
Aistersheim,+4377342855,0
Alberndorf in der Riedmark,+43723571550,0
Alkoven,+4372748000,0
Allerheiligen im Mühlkreis,+43726258012,0
Allhaming,+4372277155,0
Altenberg bei Linz,+4372307255,0
Altenfelden,+4372825555,0
Altheim,+43772342255,0
Altmünster,+43761287611,0
Altschwendt,+4377622605,0
Ampflwang im Hausruckwald,+4376754010,0
Andorf,+4377662255,0
Andrichsfurt,+4377503213,0
Ansfelden,+4372298400,0
Antiesenhofen,+4377595255,0
Arbing,+437269375,0
Arnreit,+4372827013,0
Aschach an der Donau,+4372736355,0
Aschach an der Steyr,+43725934120,0
Aspach,+4377557355,0
Asten,+437224663810,0
Attersee am Attersee,+4376667755,0
Attnang-Puchheim,+4376746150,0
Atzbach,+4376768415,0
Atzesberg,+4372838255,0
Auberg,+4372827900,0
Auerbach,+4377475215,0
Aurach am Hongar,+4376626311,0
Aurolzmünster,+43775283055,0
Bachmanning,+4377356655,0
Bad Goisern am Hallstättersee,+43613583010,0
Bad Hall,+43725877550,0
Bad Ischl,+4361323010,0
Bad Kreuzen,+4372666255,0
Bad Leonfelden,+4372136565,0
Bad Schallerbach,+43724948555,0
Bad Wimsbach-Neydharting,+437245250550,0
Bad Zell,+4372637255,0
Baumgartenberg,+437269255,0
Berg im Attergau,+4376676445,0
Braunau am Inn,+4377228080,0
Brunnenthal,+4377123055,0
Buchkirchen,+43724228005,0
Burgkirchen,+4377242212,0
Desselbrunn,+4376733713,0
Diersbach,+4377197205,0
Dietach,+43725238001,0
Dimbach,+4372607507,0
Dorf an der Pram,+4377648455,0
Ebensee am Traunsee,+4361337051,0
Eberschwang,+4377532255,0
Eberstalzell,+4372415555,0
Edlbach,+4375625225,0
Edt bei Lambach,+43724528991,0
Eferding,+43727255550,0
Eggelsberg,+4377482255,0
Eggendorf im Traunkreis,+4372287265,0
Eggerding,+43776770070,0
Eidenberg,+4372395055,0
Eitzing,+43775283037,0
Engelhartszell an der Donau,+43771780550,0
Engerwitzdorf,+43723566955,0
Enns,+43722382181,0
Enzenkirchen,+4377623215,0
Eschenau im Hausruckkreis,+4372783215,0
Esternberg,+4377146655,0
Feldkirchen an der Donau,+43723372550,0
Feldkirchen bei Mattighofen,+4377482365,0
Fischlham,+4372412203,0
Fornach,+4376825505,0
Fraham,+4372722315,0
Frankenburg am Hausruck,+4376835006,0
Frankenmarkt,+4376846255,0
Franking,+4362778114,0
Freinberg,+4377138102,0
Freistadt,+43794272506,0
Gaflenz,+437353205,0
Gallneukirchen,+43723563155,0
Gallspach,+437248623550,0
Gampern,+435948510,0
Garsten,+43725253307,0
Gaspoltshofen,+4377356954,0
Geboltskirchen,+4377323513,0
Geiersberg,+4377322151,0
Geinberg,+43772381550,0
Geretsberg,+4377487155,0
Gilgenberg am Weilhart,+4377288012,0
Gmunden,+4376127940,0
Goldwörth,+43723483655,0
Gosau,+43613688210,0
Gramastetten,+43723981550,0
Grein,+437268255,0
Grieskirchen,+437248622550,0
Großraming,+4372547575,0
Grünau im Almtal,+43761682550,0
Grünbach,+437942728130,0
Grünburg,+4372577255,0
Gschwandt,+437612626150,0
Gunskirchen,+4372466255,0
Gurten,+4377576055,0
Gutau,+4379466255,0
Haag am Hausruck,+4377322255,0
Hagenberg im Mühlkreis,+43723623180,0
Haibach im Mühlkreis,+43721182550,0
Haibach ob der Donau,+4372798235,0
Haigermoos,+4362778103,0
Hallstatt,+43613482550,0
Handenberg,+43774880850,0
Hargelsberg,+4372257255,0
Hartkirchen,+4372738956,0
Haslach an der Mühl,+437289717500,0
